identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
afrr:2025-01-28:16-20:up,up,2656,2672,16.86,1.0,4.0,4.0,0.9559000000000001,64.465896
afrr:2025-01-28:20-24:up,up,2672,2688,16.86,1.0,4.0,4.0,0.40256249999999993,27.148814999999995
afrr:2025-01-29:0-4:up,up,2688,2704,16.86,1.0,4.0,4.0,0.64830234375,43.721510062499995
afrr:2025-01-29:4-8:up,up,2704,2720,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-29:8-12:up,up,2720,2736,16.86,1.0,4.0,4.0,0.8125000000000001,54.79500000000001
afrr:2025-01-29:12-16:up,up,2736,2752,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-29:16-20:up,up,2752,2768,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-29:20-24:up,up,2768,2784,16.86,1.0,4.0,4.0,0.96935,65.372964
afrr:2025-01-30:0-4:up,up,2784,2800,16.86,1.0,4.0,4.0,0.6701866666666666,45.19738879999999
afrr:2025-01-30:4-8:up,up,2800,2816,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-30:8-12:up,up,2816,2832,16.86,1.0,4.0,4.0,0.8419333333333331,56.779983999999985
afrr:2025-01-30:12-16:up,up,2832,2848,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-30:16-20:up,up,2848,2864,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-30:20-24:up,up,2864,2880,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-31:0-4:up,up,2880,2896,16.86,1.0,4.0,4.0,0.9022000000000003,60.84436800000002
afrr:2025-01-31:4-8:up,up,2896,2912,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-31:8-12:up,up,2912,2928,16.86,1.0,4.0,4.0,0.9375,63.224999999999994
afrr:2025-01-31:12-16:up,up,2928,2944,16.86,1.0,4.0,4.0,0.883301270257869,59.56983766619068
afrr:2025-01-31:16-20:up,up,2944,2960,16.86,1.0,4.0,4.0,0.9447936706088833,63.71688514586309
afrr:2025-01-31:20-24:up,up,2960,2976,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-01:0-4:up,up,2976,2992,16.86,1.0,4.0,4.0,0.9844571428571428,66.39178971428571
afrr:2025-02-01:4-8:up,up,2992,3008,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-01:8-12:up,up,3008,3024,16.86,1.0,4.0,4.0,0.7757,52.313207999999996
afrr:2025-02-01:12-16:up,up,3024,3040,16.86,1.0,4.0,4.0,0.7147625000000003,48.203583000000016
afrr:2025-02-01:16-20:up,up,3040,3056,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-01:20-24:up,up,3056,3072,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-02:0-4:up,up,3072,3088,16.86,1.0,4.0,4.0,0.875,59.01
afrr:2025-02-02:4-8:up,up,3088,3104,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-02:8-12:up,up,3104,3120,16.86,1.0,4.0,4.0,0.8682656079908172,58.55583260290071
afrr:2025-02-02:12-16:up,up,3120,3136,16.86,1.0,4.0,4.0,0.8170433350048781,55.10140251272898
afrr:2025-02-02:16-20:up,up,3136,3152,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-02:20-24:up,up,3152,3168,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-03:0-4:up,up,3168,3184,16.86,1.0,4.0,4.0,0.8486500000000001,57.23295600000001
afrr:2025-02-03:4-8:up,up,3184,3200,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-03:8-12:up,up,3200,3216,16.86,1.0,4.0,4.0,0.7941,53.554104
afrr:2025-02-03:12-16:up,up,3216,3232,16.86,1.0,4.0,4.0,0.7703625000000001,51.953247000000005
afrr:2025-02-03:16-20:up,up,3232,3248,16.86,1.0,4.0,4.0,0.95416015625,64.3485609375
afrr:2025-02-03:20-24:up,up,3248,3264,16.86,1.0,4.0,4.0,0.8849258542716484,59.67939961207996
afrr:2025-02-04:0-4:up,up,3264,3280,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-04:4-8:up,up,3280,3296,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-04:8-12:up,up,3296,3312,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-04:12-16:up,up,3312,3328,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-04:16-20:up,up,3328,3344,16.86,1.0,4.0,4.0,0.9538426813985997,64.32715043352157
afrr:2025-02-04:20-24:up,up,3344,3360,16.86,1.0,4.0,4.0,0.8807696648251749,59.39910619580979
afrr:2025-02-05:0-4:up,up,3360,3376,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-05:4-8:up,up,3376,3392,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-05:8-12:up,up,3392,3408,16.86,1.0,4.0,4.0,0.9695,65.38308
afrr:2025-02-05:12-16:up,up,3408,3424,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-05:16-20:up,up,3424,3440,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-05:20-24:up,up,3440,3456,16.86,1.0,4.0,4.0,0.825803011132673,55.692155070787464
afrr:2025-02-06:0-4:up,up,3456,3472,16.86,1.0,4.0,4.0,0.8020522583495049,54.09040430309061
afrr:2025-02-06:4-8:up,up,3472,3488,16.86,1.0,4.0,4.0,0.8213866666666666,55.39431679999999
afrr:2025-02-06:8-12:up,up,3488,3504,16.86,1.0,4.0,4.0,0.9556587777777779,64.44962797333334
afrr:2025-02-06:12-16:up,up,3504,3520,16.86,1.0,4.0,4.0,0.7770779583333334,52.40613751
afrr:2025-02-06:16-20:up,up,3520,3536,16.86,1.0,4.0,4.0,0.8542978828125,57.613849216874996
afrr:2025-02-06:20-24:up,up,3536,3552,16.86,1.0,4.0,4.0,0.9550095238095234,64.40584228571426
afrr:2025-02-07:0-4:up,up,3552,3568,16.86,1.0,4.0,4.0,0.9679333333333335,65.27742400000001
afrr:2025-02-07:4-8:up,up,3568,3584,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-07:8-12:up,up,3584,3600,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-07:12-16:up,up,3600,3616,16.86,1.0,4.0,4.0,0.9994031755091166,67.39975015633482
afrr:2025-02-07:16-20:up,up,3616,3632,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-07:20-24:up,up,3632,3648,16.86,1.0,4.0,4.0,0.7139858146326378,48.15120333882509
afrr:2025-02-08:0-4:up,up,3648,3664,16.86,1.0,4.0,4.0,0.8594152475599385,57.95896429544225
afrr:2025-02-08:4-8:up,up,3664,3680,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-08:8-12:up,up,3680,3696,16.86,1.0,4.0,4.0,0.98475,66.41154
afrr:2025-02-08:12-16:up,up,3696,3712,16.86,1.0,4.0,4.0,0.84099997486135,56.71703830464944
afrr:2025-02-08:16-20:up,up,3712,3728,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-08:20-24:up,up,3728,3744,16.86,1.0,4.0,4.0,0.5294436531424347,35.705679967925796
afrr:2025-02-09:0-4:up,up,3744,3760,16.86,1.0,4.0,4.0,0.95275,64.25345999999999
afrr:2025-02-09:4-8:up,up,3760,3776,16.86,1.0,4.0,4.0,0.9118000000000002,61.49179200000001
afrr:2025-02-09:8-12:up,up,3776,3792,16.86,1.0,4.0,4.0,0.9430124999999999,63.596762999999996
afrr:2025-02-09:12-16:up,up,3792,3808,16.86,1.0,4.0,4.0,0.9973468750000001,67.26107325000001
afrr:2025-02-09:16-20:up,up,3808,3824,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-09:20-24:up,up,3824,3840,16.86,1.0,4.0,4.0,0.7636011923068199,51.49726440917193
afrr:2025-02-10:0-4:up,up,3840,3856,16.86,1.0,4.0,4.0,0.7108258197109387,47.938093281305704
afrr:2025-02-10:4-8:up,up,3856,3872,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-10:8-12:up,up,3872,3888,16.86,1.0,4.0,4.0,0.875,59.01
afrr:2025-02-10:12-16:up,up,3888,3904,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-10:16-20:up,up,3904,3920,16.86,1.0,4.0,4.0,0.4861617777777778,32.786750293333334
afrr:2025-02-10:20-24:up,up,3920,3936,16.86,1.0,4.0,4.0,0.9188266666666666,61.96567039999999
afrr:2025-02-11:0-4:up,up,3936,3952,16.86,1.0,4.0,4.0,0.9898233333333334,66.7536856
afrr:2025-02-11:4-8:up,up,3952,3968,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-11:8-12:up,up,3968,3984,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-11:12-16:up,up,3984,4000,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-02-11:16-20:up,up,4000,4016,16.86,1.0,4.0,4.0,0.7165,48.32076
afrr:2025-02-11:20-24:up,up,4016,4032,16.86,1.0,4.0,4.0,0.8208750000000001,55.35981000000001
afrr:2025-02-12:0-4:up,up,4032,4048,16.86,1.0,4.0,4.0,1.0,67.44
